ParticipantID,ParticipantCode,LastName,FirstName,BirthDate,Gender,ParticipantType,RegionID,MaritalStatus
5191,Part-5191,Lois,Woods,10/9/1971,FEMALE,INDIVIDUAL,567,Single
5464,Part-5464,Russell,Harper,3/17/1963,MALE,INDIVIDUAL,385,Married
5465,Part-5465,Matthew,Lewis,2/15/1965,MALE,INDIVIDUAL,375,Single
5480,Part-5480,Martha,Hicks,8/13/1968,FEMALE,INDIVIDUAL,28,Married
6403,Part-6403,Jessica,Boyd,5/30/1976,FEMALE,INDIVIDUAL,459,Married
6441,Part-6441,James,Perez,4/6/1966,MALE,INDIVIDUAL,450,Divorced
6644,Part-6644,Craig,Elliott,10/19/1967,MALE,INDIVIDUAL,275,Divorced
6935,Part-6935,Justin,Fox,7/6/2004,MALE,INDIVIDUAL,86,Married
6945,Part-6945,Jeremy,Ross,12/5/1976,MALE,INDIVIDUAL,499,Divorced
7302,Part-7302,Ryan,Hill,7/20/1946,MALE,INDIVIDUAL,655,Single
7311,Part-7311,Martin,Franklin,7/29/1981,MALE,INDIVIDUAL,165,Married
7448,Part-7448,Jane,Watson,8/21/1963,FEMALE,INDIVIDUAL,670,Single
7491,Part-7491,Walter,Marshall,1/14/2002,MALE,INDIVIDUAL,150,Divorced
7619,Part-7619,Craig,Warren,11/26/1976,MALE,INDIVIDUAL,361,Married
7649,Part-7649,Mary,Wells,11/6/1947,FEMALE,INDIVIDUAL,684,Married
7734,Part-7734,Melissa,Watkins,4/29/1978,FEMALE,INDIVIDUAL,127,Married
7743,Part-7743,Stephen,Scott,8/19/1981,MALE,INDIVIDUAL,161,Divorced
7893,Part-7893,Patricia,Hunt,5/24/1953,FEMALE,INDIVIDUAL,51,Married
7986,Part-7986,Keith,Crawford,3/15/1962,MALE,INDIVIDUAL,647,Divorced
8026,Part-8026,Johnny,Franklin,8/27/1970,MALE,INDIVIDUAL,956,Married
8030,Part-8030,Henry,Gardner,6/30/1968,MALE,INDIVIDUAL,378,Divorced
8040,Part-8040,Roy,Lewis,9/30/1971,MALE,INDIVIDUAL,11,Divorced
8282,Part-8282,Jose,Hicks,5/24/1961,MALE,INDIVIDUAL,645,Single
8303,Part-8303,Kenneth,Rivera,1/5/1964,MALE,INDIVIDUAL,580,Married
8405,Part-8405,Sara,Reyes,5/27/1959,FEMALE,INDIVIDUAL,492,Single
8406,Part-8406,Deborah,Gonzales,2/3/1982,FEMALE,INDIVIDUAL,704,Married
8439,Part-8439,Ruby,Reynolds,9/1/2009,FEMALE,INDIVIDUAL,864,Single
8471,Part-8471,Steven,Schmidt,10/21/1974,MALE,INDIVIDUAL,917,Married
8849,Part-8849,Billy,Jenkins,8/1/1980,MALE,INDIVIDUAL,414,Single
8907,Part-8907,Phyllis,Scott,1/19/1948,FEMALE,INDIVIDUAL,668,Married
9303,Part-9303,Eric,Jacobs,11/1/1974,MALE,INDIVIDUAL,588,Divorced
9407,Part-9407,Victor,Mason,8/30/1959,MALE,INDIVIDUAL,528,Married
10101,Part-10101,Chris,Cooper,4/11/1976,MALE,INDIVIDUAL,5,Divorced
10192,Part-10192,Billy,Roberts,11/16/1970,MALE,INDIVIDUAL,636,Single
10389,Part-10389,Matthew,Anderson,8/13/1967,MALE,INDIVIDUAL,751,Single
10433,Part-10433,Ralph,Howell,7/27/1972,MALE,INDIVIDUAL,781,Single
10528,Part-10528,Martha,Riley,11/23/2011,FEMALE,INDIVIDUAL,349,Married
10535,Part-10535,Irene,Berry,1/21/1995,FEMALE,INDIVIDUAL,234,Single
10571,Part-10571,Wayne,Gonzales,5/22/1967,MALE,INDIVIDUAL,247,Married
10597,Part-10597,Christopher,Hayes,8/4/1987,MALE,INDIVIDUAL,134,Married
10610,Part-10610,Jesse,Coleman,4/15/1978,MALE,INDIVIDUAL,836,Married
10799,Part-10799,Kenneth,Andrews,1/4/1988,MALE,INDIVIDUAL,60,Single
10832,Part-10832,Harry,Willis,2/22/1969,MALE,INDIVIDUAL,77,Divorced
11160,Part-11160,Jerry,Jackson,9/29/1970,MALE,INDIVIDUAL,934,Single
11174,Part-11174,Amanda,Armstrong,6/25/1968,FEMALE,INDIVIDUAL,250,Single
11412,Part-11412,Rose,George,1/2/1951,FEMALE,INDIVIDUAL,882,Single
11417,Part-11417,Rachel,Hughes,3/30/1976,FEMALE,INDIVIDUAL,860,Married
11424,Part-11424,Ernest,Bishop,4/18/2011,MALE,INDIVIDUAL,795,Married
11517,Part-11517,Jimmy,Turner,4/14/1979,MALE,INDIVIDUAL,312,Married
11606,Part-11606,Ronald,Butler,9/4/1975,MALE,INDIVIDUAL,175,Married
11748,Part-11748,Annie,Bowman,10/13/1985,FEMALE,INDIVIDUAL,464,Married
11817,Part-11817,Lisa,Black,6/25/1968,FEMALE,INDIVIDUAL,488,Single
12201,Part-12201,Donald,Mason,11/12/1970,MALE,INDIVIDUAL,313,Single
12341,Part-12341,Angela,Chapman,10/2/1987,FEMALE,INDIVIDUAL,610,Married
12349,Part-12349,Elizabeth,Foster,12/16/1969,FEMALE,INDIVIDUAL,595,Married
12593,Part-12593,Anne,Garza,9/25/1972,FEMALE,INDIVIDUAL,771,Single
12602,Part-12602,Nicole,Carter,9/6/1984,FEMALE,INDIVIDUAL,283,Single
12656,Part-12656,Marilyn,Gutierrez,11/22/1979,FEMALE,INDIVIDUAL,321,Married
12964,Part-12964,Todd,Fisher,3/7/1975,MALE,INDIVIDUAL,906,Married
13029,Part-13029,Jerry,Kennedy,7/3/1970,MALE,INDIVIDUAL,516,Single
13365,Part-13365,Nicole,Armstrong,5/26/1970,FEMALE,INDIVIDUAL,446,Single
13644,Part-13644,Alan,Young,2/9/1968,MALE,INDIVIDUAL,189,Single
13649,Part-13649,Ashley,Lawrence,4/17/1965,FEMALE,INDIVIDUAL,531,Married
13825,Part-13825,Linda,Ruiz,10/16/1968,FEMALE,INDIVIDUAL,324,Married
13947,Part-13947,Jennifer,Williamson,9/22/1980,FEMALE,INDIVIDUAL,494,Single
14002,Part-14002,Mark,Foster,5/13/1959,MALE,INDIVIDUAL,631,Single
14004,Part-14004,Adam,Riley,11/30/1990,MALE,INDIVIDUAL,113,Married
14021,Part-14021,Bruce,Richardson,7/14/1958,MALE,INDIVIDUAL,672,Divorced
14433,Part-14433,Russell,Brooks,2/9/1971,MALE,INDIVIDUAL,677,Single
14448,Part-14448,Barbara,Fuller,10/27/2007,FEMALE,INDIVIDUAL,285,Single
14734,Part-14734,Gloria,Cooper,12/30/1997,FEMALE,INDIVIDUAL,194,Single
15067,Part-15067,Pamela,Anderson,10/14/1971,FEMALE,INDIVIDUAL,71,Single
15646,Part-15646,Lillian,Hill,9/12/1972,FEMALE,INDIVIDUAL,325,Married
16163,Part-16163,Helen,Mills,11/17/2009,FEMALE,INDIVIDUAL,841,Single
16225,Part-16225,Jack,Hill,4/21/1972,MALE,INDIVIDUAL,527,Single
16259,Part-16259,Tammy,Crawford,10/23/1978,FEMALE,INDIVIDUAL,614,Divorced
16534,Part-16534,Annie,Lane,10/9/1968,FEMALE,INDIVIDUAL,751,Divorced
16820,Part-16820,Todd,Woods,9/30/1978,MALE,INDIVIDUAL,575,Married
16930,Part-16930,Christine,Little,6/25/1960,FEMALE,INDIVIDUAL,668,Single
16976,Part-16976,Joseph,Pierce,8/15/1971,MALE,INDIVIDUAL,79,Single
17084,Part-17084,Melissa,Cole,5/25/1959,FEMALE,INDIVIDUAL,861,Married
17480,Part-17480,Jimmy,Stephens,7/28/1984,MALE,INDIVIDUAL,325,Married
17910,Part-17910,Maria,Hansen,2/14/1980,FEMALE,INDIVIDUAL,641,Single
18187,Part-18187,Mark,Hart,9/4/1956,MALE,INDIVIDUAL,274,Divorced
18240,Part-18240,Albert,Torres,7/21/1987,MALE,INDIVIDUAL,540,Single
18283,Part-18283,Mark,Sullivan,11/5/1975,MALE,INDIVIDUAL,828,Married
18761,Part-18761,George,Mason,6/5/2007,MALE,INDIVIDUAL,375,Married
18786,Part-18786,Steve,Simpson,9/8/1972,MALE,INDIVIDUAL,432,Married
18929,Part-18929,Edward,Peterson,7/18/1963,MALE,INDIVIDUAL,381,Married
19089,Part-19089,Louise,Reyes,9/24/1959,FEMALE,INDIVIDUAL,655,Married
19127,Part-19127,Amanda,Frazier,3/25/1989,FEMALE,INDIVIDUAL,255,Single
19191,Part-19191,Larry,Howard,3/14/1953,MALE,INDIVIDUAL,613,Married
19289,Part-19289,Theresa,Tucker,9/15/1952,FEMALE,INDIVIDUAL,479,Married
19631,Part-19631,Andrea,Ramos,9/16/1982,FEMALE,INDIVIDUAL,931,Married
19645,Part-19645,Wanda,Tucker,1/10/1983,FEMALE,INDIVIDUAL,614,Married
19664,Part-19664,Jeremy,Hart,8/31/2012,MALE,INDIVIDUAL,357,Married
19691,Part-19691,Louis,Gomez,8/16/1971,MALE,INDIVIDUAL,738,Single
19752,Part-19752,Mark,Nguyen,1/4/1975,MALE,INDIVIDUAL,943,Married
19783,Part-19783,Antonio,Chavez,9/5/2006,MALE,INDIVIDUAL,696,Married
19868,Part-19868,Melissa,Morgan,6/22/2010,FEMALE,INDIVIDUAL,128,Married
19934,Part-19934,Anna,Martinez,5/16/1986,FEMALE,INDIVIDUAL,860,Married
19960,Part-19960,Gregory,Hansen,8/31/1952,MALE,INDIVIDUAL,23,Single
19987,Part-19987,Larry,Graham,11/24/1978,MALE,INDIVIDUAL,256,Married
20077,Part-20077,Deborah,Pierce,4/23/1969,FEMALE,INDIVIDUAL,41,Married
20123,Part-20123,Linda,Ortiz,4/25/1976,FEMALE,INDIVIDUAL,793,Single
20146,Part-20146,Steve,Collins,7/2/1971,MALE,INDIVIDUAL,133,Single
20154,Part-20154,Margaret,Evans,4/12/1960,FEMALE,INDIVIDUAL,358,Married
20175,Part-20175,Virginia,Morgan,1/18/1971,FEMALE,INDIVIDUAL,111,Married
20309,Part-20309,Frank,Mendoza,2/20/1978,MALE,INDIVIDUAL,209,Married
20467,Part-20467,Gadal ,,,,COMPANY,850,
20651,Part-20651,Charles,Rogers,1/28/2009,MALE,INDIVIDUAL,550,Married
20746,Part-20746,Raymond,Cook,9/16/1959,MALE,INDIVIDUAL,738,Married
20924,Part-20924,Robert,Ellis,1/29/1974,MALE,INDIVIDUAL,705,Married
21047,Part-21047,Dennis,Matthews,8/15/1968,MALE,INDIVIDUAL,641,Single
21087,Part-21087,Larry,Wallace,8/20/1983,MALE,INDIVIDUAL,15,Married
21404,Part-21404,Nancy,Allen,12/18/1980,FEMALE,INDIVIDUAL,724,Single
21604,Part-21604,Albert,Watson,5/22/1963,MALE,INDIVIDUAL,307,Married
21713,Part-21713,Todd,Murphy,10/4/1966,MALE,INDIVIDUAL,398,Single
22791,Part-22791,Earl,Larson,2/19/1973,MALE,INDIVIDUAL,637,Married
22793,Part-22793,Bruce,Mitchell,8/23/1973,MALE,INDIVIDUAL,62,Married
22958,Part-22958,Pamela,Clark,3/25/1981,FEMALE,INDIVIDUAL,698,Single
23061,Part-23061,Brenda,Gomez,6/15/1974,FEMALE,INDIVIDUAL,993,Single
23618,Part-23618,Kathy,Gardner,1/6/1953,FEMALE,INDIVIDUAL,386,Married
23702,Part-23702,Stephanie,Green,5/16/1979,FEMALE,INDIVIDUAL,562,Married
23762,Part-23762,Stephanie,Howell,2/1/1972,FEMALE,INDIVIDUAL,439,Married
23801,Part-23801,Roy,Phillips,1/16/1961,MALE,INDIVIDUAL,308,Married
23821,Part-23821,Mary,Kennedy,4/25/1984,FEMALE,INDIVIDUAL,275,Single
24051,Part-24051,Joyce,Young,11/22/1982,FEMALE,INDIVIDUAL,315,Single
24127,Part-24127,Joan,Thomas,8/30/1980,FEMALE,INDIVIDUAL,741,Married
24156,Part-24156,Philip,Payne,9/2/1977,MALE,INDIVIDUAL,215,Married
24161,Part-24161,Mark,Bennett,5/25/2010,MALE,INDIVIDUAL,981,Single
24168,Part-24168,Frank,Powell,2/27/1959,MALE,INDIVIDUAL,884,Married
24436,Part-24436,Angela,Wells,8/20/1974,FEMALE,INDIVIDUAL,248,Single
24475,Part-24475,Robin,Ruiz,1/12/1977,FEMALE,INDIVIDUAL,55,Married
24600,Part-24600,Jane,Lee,8/18/1967,FEMALE,INDIVIDUAL,617,Single
24642,Part-24642,Janice,Wallace,4/20/1992,FEMALE,INDIVIDUAL,165,Married
25169,Part-25169,Douglas,Rice,4/18/1965,MALE,INDIVIDUAL,473,Married
25484,Part-25484,Johnny,Webb,3/21/1976,MALE,INDIVIDUAL,24,Married
25505,Part-25505,Jonathan,Romero,9/29/1971,MALE,INDIVIDUAL,888,Married
25795,Part-25795,Pamela,Dean,5/26/1997,FEMALE,INDIVIDUAL,245,Married
25862,Part-25862,Joan,Fox,10/16/1980,FEMALE,INDIVIDUAL,533,Married
25863,Part-25863,Katherine,Rose,5/14/1984,FEMALE,INDIVIDUAL,9,Single
25910,Part-25910,Arthur,Thompson,7/5/1980,MALE,INDIVIDUAL,430,Married
25928,Part-25928,Sean,Stone,8/20/1971,MALE,INDIVIDUAL,308,Married
26083,Part-26083,Stratus Corp,,,,COMPANY,597,
26337,Part-26337,Lawrence,Morales,12/6/1975,MALE,INDIVIDUAL,378,Married
26825,Part-26825,William,Payne,10/2/1966,MALE,INDIVIDUAL,499,Married
27036,Part-27036,Richard,Lawson,7/20/1971,MALE,INDIVIDUAL,821,Married
27500,Part-27500,Ashley,Hunt,2/20/1978,FEMALE,INDIVIDUAL,752,Married
27790,Part-27790,Joyce,Morrison,12/16/1986,FEMALE,INDIVIDUAL,455,Married
28066,Part-28066,Randy,Clark,10/11/1973,MALE,INDIVIDUAL,720,Married
28138,Part-28138,Kathleen,Chapman,2/18/1975,FEMALE,INDIVIDUAL,209,Married
28167,Part-28167,Robin,Austin,8/24/1973,FEMALE,INDIVIDUAL,322,Married
28209,Part-28209,Randy,Romero,8/10/1982,MALE,INDIVIDUAL,604,Married
28520,Part-28520,Matthew,Brooks,11/8/1966,MALE,INDIVIDUAL,653,Married
28590,Part-28590,Andrew,Armstrong,5/2/1983,MALE,INDIVIDUAL,100,Married
28658,Part-28658,Ryan,Little,8/29/1969,MALE,INDIVIDUAL,929,Married
28846,Part-28846,Gerald,Perry,4/15/1970,MALE,INDIVIDUAL,124,Married
29442,Part-29442,Betty,Ford,12/13/1974,FEMALE,INDIVIDUAL,56,Married
29453,Part-29453,Charles,Kennedy,8/14/1966,MALE,INDIVIDUAL,911,Married
29455,Part-29455,Jack,Thompson,5/22/2003,MALE,INDIVIDUAL,142,Married
29815,Part-29815,Steve,James,7/9/1974,MALE,INDIVIDUAL,594,Single
29964,Part-29964,Julia,Ramos,11/19/1956,FEMALE,INDIVIDUAL,74,Single
30379,Part-30379,Gregory,Hunter,11/18/1951,MALE,INDIVIDUAL,21,Married
30477,Part-30477,Paul,Simmons,5/6/1945,MALE,INDIVIDUAL,817,Married
30523,Part-30523,Chris,Palmer,6/2/2005,MALE,INDIVIDUAL,887,Single
30627,Part-30627,Wayne,Kim,6/14/1965,MALE,INDIVIDUAL,202,Single
30636,Part-30636,Adam,James,8/26/1996,MALE,INDIVIDUAL,884,Married
30764,Part-30764,Amanda,Barnes,7/12/1977,FEMALE,INDIVIDUAL,59,Single
30843,Part-30843,Christopher,Burns,11/10/2000,MALE,INDIVIDUAL,408,Married
31228,Part-31228,Andrea,Woods,11/22/1962,FEMALE,INDIVIDUAL,920,Single
31490,Part-31490,Shirley,Andrews,5/24/1972,FEMALE,INDIVIDUAL,44,Divorced
31691,Part-31691,Judith,Alexander,6/30/1966,FEMALE,INDIVIDUAL,968,Divorced
32032,Part-32032,Joan,Mitchell,6/15/1959,FEMALE,INDIVIDUAL,16,Single
32059,Part-32059,Barbara,Cruz,12/9/2011,FEMALE,INDIVIDUAL,336,Married
32064,Part-32064,Catherine,Duncan,12/11/1977,FEMALE,INDIVIDUAL,214,Single
32191,Part-32191,Douglas,Richards,8/21/1972,MALE,INDIVIDUAL,794,Single
32307,Part-32307,Kelly,Anderson,10/15/2010,FEMALE,INDIVIDUAL,483,Single
32466,Part-32466,Howard,Washington,8/10/1970,MALE,INDIVIDUAL,712,Married
32644,Part-32644,Benjamin,Ortiz,12/9/1982,MALE,INDIVIDUAL,894,Divorced
32921,Part-32921,Craig,Mccoy,1/14/1969,MALE,INDIVIDUAL,976,Married
33087,Part-33087,Judy,Burns,5/19/1977,FEMALE,INDIVIDUAL,654,Married
33101,Part-33101,Robin,Castillo,12/31/1974,FEMALE,INDIVIDUAL,134,Single
33963,Part-33963,Virginia,Wheeler,10/8/1965,FEMALE,INDIVIDUAL,904,Married
34025,Part-34025,Bonnie,Sims,12/23/1975,FEMALE,INDIVIDUAL,399,Married
34031,Part-34031,Tina,Foster,10/22/1974,FEMALE,INDIVIDUAL,166,Married
34389,Part-34389,Amy,Mitchell,5/26/1976,FEMALE,INDIVIDUAL,83,Married
34635,Part-34635,Eric,Ryan,1/5/1958,MALE,INDIVIDUAL,521,Married
34648,Part-34648,Brandon,Garcia,4/3/1995,MALE,INDIVIDUAL,462,Married
34685,Part-34685,Benjamin,Alexander,12/2/1992,MALE,INDIVIDUAL,129,Married
34688,Part-34688,Thomas,Fowler,1/21/1959,MALE,INDIVIDUAL,116,Single
35018,Part-35018,Ralph,Washington,11/17/1978,MALE,INDIVIDUAL,890,Divorced
35330,Part-35330,Brenda,Rivera,6/7/1984,FEMALE,INDIVIDUAL,883,Single
35626,Part-35626,Gloria,Jones,9/27/1969,FEMALE,INDIVIDUAL,246,Married
35693,Part-35693,Edward,Ross,4/26/1966,MALE,INDIVIDUAL,279,Divorced
35955,Part-35955,Jeffrey,Wilson,7/1/2009,MALE,INDIVIDUAL,143,Married
35957,Part-35957,Fred,Franklin,4/14/1977,MALE,INDIVIDUAL,930,Married
36070,Part-36070,Katherine,Smith,10/25/1977,FEMALE,INDIVIDUAL,528,Single
36411,Part-36411,Christopher,Dean,10/9/1975,MALE,INDIVIDUAL,106,Married
36463,Part-36463,Philip,Miller,11/2/1972,MALE,INDIVIDUAL,889,Single
36531,Part-36531,Jeffrey,Gomez,9/1/1966,MALE,INDIVIDUAL,813,Single
36541,Part-36541,Victor,Little,3/1/1976,MALE,INDIVIDUAL,618,Married
36555,Part-36555,Nicholas,Medina,7/20/1988,MALE,INDIVIDUAL,172,Single
36713,Part-36713,Pamela,Bell,5/17/1976,FEMALE,INDIVIDUAL,529,Married
36807,Part-36807,Peter,Boyd,12/7/1970,MALE,INDIVIDUAL,566,Single
37482,Part-37482,Judy,West,7/25/2008,FEMALE,INDIVIDUAL,165,Married
37494,Part-37494,Cynthia,Cruz,10/10/1973,FEMALE,INDIVIDUAL,791,Married
37515,Part-37515,Helen,Romero,5/23/2009,FEMALE,INDIVIDUAL,992,Married
37860,Part-37860,Juan,Long,5/21/1975,MALE,INDIVIDUAL,418,Single
38203,Part-38203,George,Gonzalez,4/3/1978,MALE,INDIVIDUAL,181,Single
38209,Part-38209,Gregory,Mills,11/6/1951,MALE,INDIVIDUAL,631,Married
38345,Part-38345,Lillian,Harris,8/3/1975,FEMALE,INDIVIDUAL,54,Married
38574,Part-38574,Lillian,Sanders,7/4/1988,FEMALE,INDIVIDUAL,84,Married
39131,Part-39131,Norma,Hall,6/7/1983,FEMALE,INDIVIDUAL,825,Married
39141,Part-39141,Patricia,Stewart,8/11/1964,FEMALE,INDIVIDUAL,769,Single
39142,Part-39142,Brenda,Fox,2/12/1986,FEMALE,INDIVIDUAL,337,Married
39185,Part-39185,Ralph,Gordon,5/25/1954,MALE,INDIVIDUAL,991,Single
39819,Part-39819,Carol,Arnold,6/24/1973,FEMALE,INDIVIDUAL,640,Single
40219,Part-40219,Katherine,Rice,9/21/1982,FEMALE,INDIVIDUAL,163,Single
40249,Part-40249,Earl,Moreno,3/12/1972,MALE,INDIVIDUAL,934,Single
40251,Part-40251,Paula,Warren,6/9/2007,FEMALE,INDIVIDUAL,977,Married
40253,Part-40253,Donna,Murray,9/16/1977,FEMALE,INDIVIDUAL,325,Married
40359,Part-40359,Wayne,Willis,3/5/1958,MALE,INDIVIDUAL,463,Married
40368,Part-40368,Mary,Butler,12/11/1991,FEMALE,INDIVIDUAL,79,Single
40547,Part-40547,Elizabeth,Turner,11/7/1983,FEMALE,INDIVIDUAL,899,Single
40591,Part-40591,Kathryn,Patterson,7/1/1984,FEMALE,INDIVIDUAL,862,Divorced
40720,Part-40720,Natures ,,,,COMPANY,961,
40809,Part-40809,Laura,Stewart,11/18/2000,FEMALE,INDIVIDUAL,603,Married
40953,Part-40953,Anthony,Willis,10/19/1972,MALE,INDIVIDUAL,509,Married
41250,Part-41250,Jeremy,Williamson,5/22/2010,MALE,INDIVIDUAL,434,Married
41252,Part-41252,Timothy,Butler,12/2/1975,MALE,INDIVIDUAL,657,Married
41286,Part-41286,Teresa,Parker,8/21/1992,FEMALE,INDIVIDUAL,686,Married
41704,Part-41704,Lois,Rivera,2/16/1975,FEMALE,INDIVIDUAL,962,Married
41834,Part-41834,Susan,Spencer,10/13/1967,FEMALE,INDIVIDUAL,238,Single
41937,Part-41937,Ernest,White,3/1/1973,MALE,INDIVIDUAL,424,Married
41981,Part-41981,Laura,Hansen,6/21/1966,FEMALE,INDIVIDUAL,53,Single
42003,Part-42003,Susan,Reyes,1/21/1964,FEMALE,INDIVIDUAL,911,Married
42374,Part-42374,Timothy,Mills,9/11/1953,MALE,INDIVIDUAL,498,Married
42428,Part-42428,Amanda,Fernandez,10/30/1975,FEMALE,INDIVIDUAL,842,Married
42469,Part-42469,Edward,White,7/5/2001,MALE,INDIVIDUAL,105,Married
42474,Part-42474,Donald,Rogers,12/5/1962,MALE,INDIVIDUAL,992,Single
42744,Part-42744,Kathy,Stephens,1/22/1980,FEMALE,INDIVIDUAL,185,Married
42884,Part-42884,Julie,Little,9/23/1980,FEMALE,INDIVIDUAL,712,Married
43139,Part-43139,Paul,Sullivan,1/29/1976,MALE,INDIVIDUAL,638,Single
43341,Part-43341,Wayne,Rodriguez,6/29/1960,MALE,INDIVIDUAL,432,Single
43666,Part-43666,Michael,Chapman,11/5/1959,MALE,INDIVIDUAL,813,Divorced
44030,Part-44030,Deseret ,,,,COMPANY,989,
44152,Part-44152,Nicole,Nichols,12/20/2011,FEMALE,INDIVIDUAL,663,Single
44497,Part-44497,Janice,Anderson,11/12/1980,FEMALE,INDIVIDUAL,619,Married
44499,Part-44499,Mark,Hicks,6/8/1948,MALE,INDIVIDUAL,561,Married
44786,Part-44786,Joe,Gray,7/19/1953,MALE,INDIVIDUAL,74,Married
45010,Part-45010,Ernest,Moore,3/4/1965,MALE,INDIVIDUAL,977,Married
45340,Part-45340,Brian,Oliver,3/29/1976,MALE,INDIVIDUAL,875,Married
45609,Part-45609,Sean,Sanders,6/23/1970,MALE,INDIVIDUAL,507,Married
45757,Part-45757,Jane,Frazier,12/28/1963,FEMALE,INDIVIDUAL,22,Single
46094,Part-46094,Phillip,Scott,12/27/1981,MALE,INDIVIDUAL,94,Married
46457,Part-46457,Benjamin,Butler,5/14/2009,MALE,INDIVIDUAL,601,Single
46513,Part-46513,Christina,Nguyen,8/1/1968,FEMALE,INDIVIDUAL,959,Married
46527,Part-46527,Carolyn,Diaz,4/24/1972,FEMALE,INDIVIDUAL,896,Single
46769,Part-46769,Terry,Fuller,7/10/1956,MALE,INDIVIDUAL,224,Single
46815,Part-46815,Nicole,Price,3/2/1984,FEMALE,INDIVIDUAL,234,Divorced
46899,Part-46899,Marilyn,Castillo,6/26/1988,FEMALE,INDIVIDUAL,490,Single
47164,Part-47164,Denise,Washington,6/25/1968,FEMALE,INDIVIDUAL,869,Divorced
47369,Part-47369,Jerry,West,8/28/2009,MALE,INDIVIDUAL,93,Single
47620,Part-47620,"Dolgencorp, Group",,,,COMPANY,711,
48286,Part-48286,Raymond,Evans,9/22/1963,MALE,INDIVIDUAL,732,Married
48548,Part-48548,Christine,Kennedy,2/19/1987,FEMALE,INDIVIDUAL,449,Married
48694,Part-48694,Richard,Gonzalez,1/16/1988,MALE,INDIVIDUAL,748,Married
48742,Part-48742,Evelyn,Sims,8/26/1980,FEMALE,INDIVIDUAL,989,Married
48967,Part-48967,Robin,Mcdonald,11/4/1971,FEMALE,INDIVIDUAL,227,Single
49887,Part-49887,Martin,Alvarez,6/14/1978,MALE,INDIVIDUAL,805,Single
49996,Part-49996,Teresa,Ferguson,5/14/1984,FEMALE,INDIVIDUAL,865,Divorced
50018,Part-50018,Roger,Sanchez,2/25/1980,MALE,INDIVIDUAL,508,Single
50213,Part-50213,Joshua,Williamson,1/31/2012,MALE,INDIVIDUAL,222,Married
50216,Part-50216,Shawn,Green,8/18/1976,MALE,INDIVIDUAL,322,Single
50218,Part-50218,Carol,Evans,11/13/2007,FEMALE,INDIVIDUAL,106,Single
50595,Part-50595,Bobby,Cunningham,5/12/2008,MALE,INDIVIDUAL,247,Single
50603,Part-50603,Brian,Jacobs,9/22/1961,MALE,INDIVIDUAL,971,Single
50981,Part-50981,Kevin,Wilson,6/21/1973,MALE,INDIVIDUAL,721,Married
51511,Part-51511,Richard,Smith,7/1/1994,MALE,INDIVIDUAL,367,Single
51568,Part-51568,Harold,Carpenter,3/20/1970,MALE,INDIVIDUAL,707,Single
51745,Part-51745,Lori,Walker,3/22/1986,FEMALE,INDIVIDUAL,350,Married
52087,Part-52087,Carolyn,Murray,12/28/1982,FEMALE,INDIVIDUAL,442,Married
